2023-10-11 12:11:15,233 - INFO - Export button disabled for candidate: KELLY ARMSTRONG, State: ND, District: 00
2023-10-11 12:11:26,534 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104587d60>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/0007b7cb-d305-4162-97ff-cdf60290043d/element
2023-10-11 12:11:26,534 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028a6ac0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/0007b7cb-d305-4162-97ff-cdf60290043d/element
2023-10-11 12:11:26,535 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028a6eb0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/0007b7cb-d305-4162-97ff-cdf60290043d/element
2023-10-11 12:11:26,536 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10288f3d0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/0007b7cb-d305-4162-97ff-cdf60290043d/refresh
2023-10-11 12:11:26,536 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028a6e20>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/0007b7cb-d305-4162-97ff-cdf60290043d/refresh
2023-10-11 12:11:26,536 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10288f1c0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/0007b7cb-d305-4162-97ff-cdf60290043d/refresh
2023-10-11 12:11:26,561 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1045788e0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/5a244dfe-0418-4640-b0ac-3546f51cfe88/back
2023-10-11 12:11:26,561 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102897520>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/5a244dfe-0418-4640-b0ac-3546f51cfe88/back
2023-10-11 12:11:26,562 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028ad6a0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/5a244dfe-0418-4640-b0ac-3546f51cfe88/back
2023-10-11 12:11:26,603 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104578340>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/279dc396-8963-473c-b40a-caab03bd5dc3/element
2023-10-11 12:11:26,603 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102897e80>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/279dc396-8963-473c-b40a-caab03bd5dc3/element
2023-10-11 12:11:26,603 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028ad5b0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/279dc396-8963-473c-b40a-caab03bd5dc3/element
2023-10-11 12:11:26,604 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102895d90>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/279dc396-8963-473c-b40a-caab03bd5dc3/refresh
2023-10-11 12:11:26,605 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028a8460>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/279dc396-8963-473c-b40a-caab03bd5dc3/refresh
2023-10-11 12:11:26,605 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028a84c0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/279dc396-8963-473c-b40a-caab03bd5dc3/refresh
2023-10-11 12:11:26,646 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1045875b0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/2589eecd-6039-405f-8553-92bdc6a9396d/element
2023-10-11 12:11:26,647 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10289a190>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/2589eecd-6039-405f-8553-92bdc6a9396d/element
